,symbol,side,executedQty,cummulativeQuoteQty,priceWAvg,overallCost,overallPriceWAvg
0,ADABTC,SELL,-346.0,-0.0100868,2.9152601156069363e-05,-0.0100868,2.9152601156069363e-05
1,ADABUSD,SELL,-229.0,-535.86,2.34,-535.86,2.34
2,ADAEUR,BUY,3875.3399999999992,3283.740103,0.8473424533073229,-807.3094270000001,-0.6182725843385032
3,ADAEUR,SELL,-2569.59,-4091.0495300000002,1.5921020590833557,-807.3094270000001,-0.6182725843385032
4,AIONBTC,BUY,829.0,0.00890346,1.074e-05,-0.0002873400000000005,-0.0002873400000000005
5,AIONBTC,SELL,-828.0,-0.0091908,1.11e-05,-0.0002873400000000005,-0.0002873400000000005
6,ATOMBTC,BUY,24.67,0.0094264,0.00038209971625456017,-0.0011698300000000002,-658555744010.8535
7,ATOMBTC,SELL,-24.67,-0.01059623,0.0004295188488042156,-0.0011698300000000002,-658555744010.8535
8,BNBEUR,BUY,5.0762,1713.0472419,337.46645953666126,888.4089029,307.56756202181066
9,BNBEUR,SELL,-2.1877,-824.638339,376.94306303423684,888.4089029,307.56756202181066
10,BTCEUR,BUY,0.124547,4076.7189520899997,32732.373739150677,1812.3199169699994,27911.903849838272
11,BTCEUR,SELL,-0.059616999999999996,-2264.39903512,37982.43848432494,1812.3199169699994,27911.903849838272
12,DOTBTC,SELL,-71.1,-0.03345381,0.0004705177215189874,-0.03345381,0.0004705177215189874
13,DOTEUR,BUY,124.84400000000001,3080.5679830000004,24.67533868668098,2053.2762830000006,22.995333045883687
14,DOTEUR,SELL,-35.553,-1027.2917,28.894655865890364,2053.2762830000006,22.995333045883687
15,ENJEUR,BUY,85.202,159.05012200000002,1.8667416492570599,159.05012200000002,1.8667416492570599
16,ETHEUR,BUY,1.5392999999999997,1918.0843185,1246.0756957708052,970.0746981,1372.7990180289823
17,ETHEUR,SELL,-0.83266,-948.0096204,1138.5314779141547,970.0746981,1372.7990180289823
18,EURBUSD,SELL,-433.91,-499.994493,1.1522999999999999,-499.994493,1.1522999999999999
19,LINKBTC,BUY,13.0,0.01818114,0.0013985492307692306,0.009155289999999998,0.0013871651515151512
20,LINKBTC,SELL,-6.4,-0.00902585,0.0014102890624999999,0.009155289999999998,0.0013871651515151512
21,LINKEUR,BUY,40.206,831.087814,20.670741033676563,402.1021320000001,15.216731579943238
22,LINKEUR,SELL,-13.781,-428.985682,31.128777447209924,402.1021320000001,15.216731579943238
23,SNXBTC,BUY,17.79,0.0092757,0.0005213996627318718,0.00019878999999999904,0.009939500000000163
24,SNXBTC,SELL,-17.77,-0.00907691,0.0005107996623522792,0.00019878999999999904,0.009939500000000163
25,SXPBTC,SELL,-342.0,-0.02040368,5.9659883040935674e-05,-0.02040368,5.9659883040935674e-05
26,SXPEUR,BUY,624.8570000000002,1176.474698,1.882790299220461,910.5146980000001,1.7684807587349496
27,SXPEUR,SELL,-110.0,-265.96000000000004,2.4178181818181823,910.5146980000001,1.7684807587349496
28,THETAEUR,BUY,22.599,199.729962,8.838,199.729962,8.838
29,UNIEUR,BUY,3.839,99.748737,25.983,99.748737,25.983
30,XRPBTC,BUY,364.0,0.00905268,2.487e-05,0.00015918000000000009,0.00015918000000000009
31,XRPBTC,SELL,-363.0,-0.0088935,2.4500000000000003e-05,0.00015918000000000009,0.00015918000000000009
32,XRPEUR,BUY,635.8,201.005053,0.31614509751494185,-77.044468,151.06758431370923
33,XRPEUR,SELL,-636.31,-278.049521,0.43697179205104436,-77.044468,151.06758431370923
