1614598200000,39690.00000000,39797.99000000,39571.17000000,39767.81000000,36.64871200,1614599099999,1454314.47151272,2414,19.63606200,779301.38006137,0
1614599100000,39767.80000000,39901.90000000,39690.00000000,39754.17000000,51.80975000,1614599999999,2062065.56474355,2735,31.44196500,1251469.59900466,0
1614600000000,39756.84000000,39945.06000000,39720.78000000,39779.72000000,63.74803900,1614600899999,2539581.35901853,3044,38.14077500,1519553.98669350,0
1614600900000,39779.72000000,39850.00000000,39521.00000000,39543.39000000,48.23190400,1614601799999,1915074.71347202,2775,23.24742600,923082.02643921,0
1614601800000,39542.79000000,39839.28000000,39528.24000000,39828.73000000,29.37047100,1614602699999,1164974.50530869,2096,19.91264200,789938.29215870,0
1614602700000,39802.37000000,39982.55000000,39799.99000000,39877.90000000,57.21069900,1614603599999,2281699.45705687,2989,35.98176100,1435054.11470162,0
1614603600000,39882.71000000,40200.00000000,39882.71000000,40178.53000000,74.12766100,1614604499999,2971261.85234084,3708,49.60188000,1987992.92280326,0
1614604500000,40170.83000000,40318.73000000,40020.27000000,40091.64000000,58.36319200,1614605399999,2344590.60347982,3468,33.63668100,1351232.19817598,0
1614605400000,40091.64000000,40100.00000000,39900.00000000,40098.12000000,48.18371100,1614606299999,1926733.07695020,2759,28.42950800,1136929.44992922,0
1614606300000,40099.96000000,40196.34000000,39766.83000000,39801.06000000,49.22346100,1614607199999,1968046.56489619,2924,26.36341800,1054515.25714521,0
1614607200000,39792.62000000,40076.89000000,39638.28000000,39983.41000000,58.59958500,1614608099999,2335521.41435728,3193,33.14725100,1321263.15507776,0
1614608100000,39979.06000000,40185.26000000,39894.37000000,40098.72000000,42.73354800,1614608999999,1709520.85452916,2671,25.39292600,1016200.13991863,0
1614609000000,40105.73000000,40380.00000000,40089.86000000,40249.99000000,55.56428800,1614609899999,2236654.09105749,3234,31.49436700,1267718.17734523,0
1614609900000,40249.99000000,40250.00000000,40002.01000000,40046.03000000,42.54801100,1614610799999,1707125.43329911,2593,22.39113100,898701.29182786,0
1614610800000,40046.03000000,40415.25000000,40027.63000000,40359.99000000,49.01598700,1614611699999,1974295.25367432,2796,30.00744300,1208554.33235033,0
1614611700000,40359.98000000,40747.71000000,40316.69000000,40631.99000000,82.00295900,1614612599999,3322613.02915314,4000,42.51029800,1722326.50663945,0
1614612600000,40638.69000000,41000.00000000,40632.05000000,40965.18000000,87.54086700,1614613499999,3569045.07029659,4360,53.35790300,2175420.82285340,0
1614613500000,40965.18000000,41060.75000000,40825.96000000,40925.00000000,92.14809800,1614614399999,3773193.11098104,3907,55.44326800,2271184.75427873,0
1614614400000,40925.00000000,41136.42000000,40562.98000000,40674.79000000,93.28424000,1614615299999,3806847.16782399,5100,49.53656100,2021204.59177439,0
1614615300000,40672.11000000,41049.99000000,40666.63000000,40808.00000000,61.21903900,1614616199999,2503318.63713570,3780,36.87771400,1508420.95954877,0
1614616200000,40818.20000000,40897.45000000,40602.94000000,40698.53000000,39.81972000,1614617099999,1622704.06599801,2730,16.23640800,661994.03099114,0
1614617100000,40692.19000000,40919.86000000,40362.05000000,40798.70000000,73.71243400,1614617999999,2990562.59599886,3891,38.34377400,1555868.33648135,0
1614618000000,40793.80000000,40888.88000000,40648.38000000,40648.38000000,32.40968900,1614618899999,1321149.88757864,2481,19.69434800,803066.11912180,0
1614618900000,40653.02000000,40765.59000000,40500.02000000,40754.09000000,31.69142400,1614619799999,1287088.77363472,2298,16.13448400,655319.26121112,0
1614619800000,40754.09000000,40849.98000000,40524.37000000,40551.97000000,37.55034300,1614620699999,1528045.18175116,2394,17.99014200,732073.01914670,0
1614620700000,40551.97000000,40586.26000000,40359.88000000,40389.63000000,47.98160500,1614621599999,1942789.26231534,2567,25.52465900,1033824.38216659,0
1614621600000,40399.98000000,40574.82000000,40399.98000000,40488.85000000,27.81534000,1614622499999,1126579.98333803,2200,15.88053700,643275.27868386,0
1614622500000,40475.19000000,40475.19000000,40153.04000000,40295.24000000,62.58891600,1614623399999,2518830.77940512,3243,32.05957600,1289911.60657059,0
1614623400000,40288.97000000,40423.36000000,40251.72000000,40291.30000000,30.97659000,1614624299999,1249266.66243461,1944,14.00331100,564969.61610183,0
1614624300000,40300.52000000,40372.60000000,40193.65000000,40322.67000000,33.40345600,1614625199999,1346406.34006752,1943,20.76217900,837046.48727096,0
1614625200000,40322.68000000,40528.61000000,40213.66000000,40415.24000000,43.69350400,1614626099999,1763716.29602246,2232,25.06424500,1011643.44123532,0
1614626100000,40413.07000000,40427.78000000,40150.04000000,40191.20000000,39.39101600,1614626999999,1585668.76987588,2127,25.28262400,1017744.13700957,0
1614627000000,40197.81000000,40293.97000000,39990.85000000,40025.61000000,42.11569300,1614627899999,1689848.66663901,2554,19.38313400,778219.09780585,0
1614627900000,40005.79000000,40268.30000000,39995.70000000,40115.61000000,35.87120300,1614628799999,1439929.90922022,2264,22.42999300,900332.86426955,0
1614628800000,40117.32000000,40481.76000000,40098.85000000,40441.22000000,31.76951500,1614629699999,1279888.85920400,2332,19.07370600,768440.23532782,0
1614629700000,40441.22000000,40676.63000000,40190.71000000,40279.37000000,69.72638100,1614630599999,2821917.80474469,3099,32.84471700,1329699.78005186,0
1614630600000,40286.43000000,40293.48000000,39938.47000000,40143.91000000,82.35915200,1614631499999,3299661.35842151,3412,37.69303300,1510296.06164527,0
1614631500000,40130.36000000,40482.30000000,40113.54000000,40425.03000000,24.81221400,1614632399999,999793.35476299,1944,13.79430500,556070.99983504,0
